"id_cliente","nombre","email","pais"
1,"João da Silva","joao.silva@gmail.com","Brasil"
2,"Pedro Souza","pedro.souza@hotmail.com","Brasil"
3,"Lucas Ferreira","lucas.ferreira@yahoo.com","Brasil"
4,"Carlos Alves","carlos.alves@outlook.com","Brasil"
5,"Gabriel Rocha","gabriel.rocha@hotmail.com","Brasil"
6,"Rodrigo Ramos","rodrigo.ramos@yahoo.com","Brasil"
7,"Rafael Barros","rafael.barros@gmail.com","Brasil"
8,"Thiago Martins","thiago.martins@gmail.com","Brasil"
9,"Bruno Silva","bruno.silva@yahoo.com.br","Brasil"
10,"Renato Moreira","renato.moreira@gmail.com","Brasil"
11,"Victor Oliveira","victor.oliveira@gmail.com","Brasil"
12,"Felipe Castro","felipe.castro@yahoo.com.br","Brasil"
13,"Rafael Lima","rafael.lima@hotmail.com","Brasil"
14,"Fábio Santos","fabio.santos@gmail.com","Brasil"
15,"André Rocha","andre.rocha@gmail.com","Brasil"
16,"Fernando Ribeiro","fernando.ribeiro@gmail.com","Brasil"
17,"Guilherme Souza","guilherme.souza@gmail.com","Brasil"
18,"Tatiana Silva","tatiana.silva@gmail.com","Brasil"
19,"Cintia Nunes","cintia.nunes@hotmail.com","Brasil"
20,"Amanda Silva","amanda.silva@outlook.com","Brasil"
21,"Alessandra Mendes","alessandra.mendes@yahoo.com.br","Brasil"
22,"Adriana Pereira","adriana.pereira@hotmail.com","Brasil"
23,"Jessica Barros","jessica.barros@outlook.com","Brasil"
24,"Carolina Castro","carolina.castro@gmail.com","Brasil"
25,"Vanessa Araujo","vanessa.araujo@gmail.com","Brasil"
26,"Camila Santos","camila.santos@gmail.com","Brasil"
27,"Thiago Souza","thiago.souza@gmail.com","Brasil"
28,"Gustavo Costa","gustavo.costa@gmail.com","Brasil"
29,"Ricardo Barros","ricardo.barros@hotmail.com","Brasil"
30,"Paulo Cardoso","paulo.cardoso@outlook.com","Brasil"
31,"Luciano Souza","luciano.souza@gmail.com","Brasil"
32,"Rodrigo Lima","rodrigo.lima@gmail.com","Brasil"
33,"Renato Ferreira","renato.ferreira@hotmail.com","Brasil"
34,"Vitor Santos","vitor.santos@gmail.com","Brasil"
35,"João Pereira","joao.pereira@hotmail.com","Brasil"
36,"André Souza","andre.souza@yahoo.com.br","Brasil"
37,"Carlos Ribeiro","carlos.ribeiro@gmail.com","Brasil"
38,"Felipe Rocha","felipe.rocha@hotmail.com","Brasil"
39,"Renata Silva","renata.silva@yahoo.com.br","Brasil"
40,"Tatiana Barros","tatiana.barros@gmail.com","Brasil"
41,"Rafael Costa","rafael.costa@gmail.com","Brasil"
42,"Paulo Mendes","paulo.mendes@gmail.com","Brasil"
43,"Fernando Araujo","fernando.araujo@hotmail.com","Brasil"
44,"Roberta Santos","roberta.santos@gmail.com","Brasil"
45,"Bianca Pereira","bianca.pereira@gmail.com","Brasil"
46,"Maria Oliveira","maria.oliveira@yahoo.com.br","Brasil"
47,"Ana Costa","ana.costa@gmail.com","Brasil"
48,"Mariana Pereira","mariana.pereira@gmail.com","Brasil"
49,"Fernanda Lima","fernanda.lima@gmail.com","Brasil"
50,"Juliana Mendes","juliana.mendes@gmail.com","Brasil"
51,"Paula Duarte","paula.duarte@hotmail.com","Brasil"
52,"Camila Cardoso","camila.cardoso@outlook.com","Brasil"
53,"Isabela Fernandes","isabela.fernandes@gmail.com","Brasil"
54,"Leticia Correia","leticia.correia@hotmail.com","Brasil"
55,"Patricia Gomes","patricia.gomes@outlook.com","Brasil"
56,"Larissa Andrade","larissa.andrade@gmail.com","Brasil"
57,"Beatriz Araujo","beatriz.araujo@gmail.com","Brasil"
58,"Bruna Mendes","bruna.mendes@yahoo.com.br","Brasil"
59,"Cláudia Almeida","claudia.almeida@outlook.com","Brasil"
60,"Carla Martins","carla.martins@hotmail.com","Brasil"
61,"Aline Gonçalves","aline.goncalves@yahoo.com.br","Brasil"
62,"Marcelo Alves","marcelo.alves@outlook.com","Brasil"
63,"Leonardo Ferreira","leonardo.ferreira@yahoo.com.br","Brasil"
64,"Danilo Oliveira","danilo.oliveira@gmail.com","Brasil"
65,"Roberto Costa","roberto.costa@gmail.com","Brasil"
66,"Ricardo Lima","ricardo.lima@gmail.com","Brasil"
67,"Mateus Rocha","mateus.rocha@gmail.com","Brasil"
68,"Eduardo Souza","eduardo.souza@gmail.com","Brasil"
69,"Vinicius Almeida","vinicius.almeida@hotmail.com","Brasil"
70,"Rafael Duarte","rafael.duarte@yahoo.com.br","Brasil"
71,"Joana Lima","joana.lima@hotmail.com","Brasil"
72,"Bárbara Andrade","barbara.andrade@outlook.com","Brasil"
73,"Livia Mendes","livia.mendes@yahoo.com.br","Brasil"
74,"Ana Santos","ana.santos@gmail.com","Brasil"
75,"Gabriela Silva","gabriela.silva@hotmail.com","Brasil"
76,"Viviane Pereira","viviane.pereira@yahoo.com.br","Brasil"
77,"Sabrina Rocha","sabrina.rocha@outlook.com","Brasil"
78,"Claudia Araujo","claudia.araujo@gmail.com","Brasil"
79,"Raquel Duarte","raquel.duarte@yahoo.com.br","Brasil"
80,"Patricia Lima","patricia.lima@gmail.com","Brasil"
81,"Monica Mendes","monica.mendes@gmail.com","Brasil"
82,"Marcela Andrade","marcela.andrade@outlook.com","Brasil"
83,"Marcos Santos","marcos.santos@gmail.com","Brasil"
84,"Bruno Pereira","bruno.pereira@hotmail.com","Brasil"
85,"Eduardo Lima","eduardo.lima@yahoo.com.br","Brasil"
86,"Mariana Souza","mariana.souza@hotmail.com","Brasil"
87,"Juliana Lima","juliana.lima@yahoo.com.br","Brasil"
88,"Larissa Silva","larissa.silva@outlook.com","Brasil"
89,"Marcelo Cardoso","marcelo.cardoso@hotmail.com","Brasil"
90,"Gustavo Oliveira","gustavo.oliveira@yahoo.com.br","Brasil"
91,"Max Mustermann","max.mustermann@example.com","Alemania"
92,"Erika Mustermann","erika.mustermann@example.com","Alemania"
93,"Hans Müller","hans.mueller@example.com","Alemania"
94,"Anna Schmidt","anna.schmidt@example.com","Alemania"
95,"Peter Weber","peter.weber@example.com","Alemania"
96,"Julia Becker","julia.becker@example.com","Alemania"
97,"Thomas Meyer","thomas.meyer@example.com","Alemania"
98,"Clara Hoffmann","clara.hoffmann@example.com","Alemania"
99,"Felix Schulz","felix.schulz@example.com","Alemania"
100,"Sophie Braun","sophie.braun@example.com","Alemania"
101,"Maximilian Fischer","maximilian.fischer@example.com","Alemania"
102,"Laura Zimmermann","laura.zimmermann@example.com","Alemania"
103,"Tim Neumann","tim.neumann@example.com","Alemania"
104,"Emma Richter","emma.richter@example.com","Alemania"
105,"Mia Schmitt","mia.schmitt@example.com","Alemania"
106,"Leon Schneider","leon.schneider@example.com","Alemania"
107,"Nina Wolff","nina.wolff@example.com","Alemania"
108,"Paul Zimmer","paul.zimmer@example.com","Alemania"
109,"Marie Krüger","marie.krueger@example.com","Alemania"
110,"Johannes Schwarz","johannes.schwarz@example.com","Alemania"
111,"Leonie Fischer","leonie.fischer@gmail.com","Alemania"
